driver_id,first_name,last_name,hire_date,termination_date,license_number,license_state,date_of_birth,home_terminal,employment_status,cdl_class,years_experience
DRV00001,Jennifer,Hernandez,2014-10-31,,DL673510887,WA,1973-11-07,Denver,Active,A,3
DRV00002,William,Martin,2020-10-02,,DL128955006,GA,1976-11-03,Columbus,Active,A,20
DRV00003,Charles,Hernandez,2021-09-21,,DL523076025,NC,1970-04-06,Salt Lake City,Active,A,19
DRV00004,Barbara,Brown,2013-09-08,,DL735540030,WA,1995-02-06,Denver,Active,A,19
DRV00005,Mary,Martinez,2018-12-02,,DL706011277,AZ,1960-07-15,Chicago,Active,A,12
DRV00006,Robert,Taylor,2019-04-04,,DL811890569,NC,1990-05-02,Portland,Active,A,23
DRV00007,James,Martinez,2019-07-02,2021-05-17,DL129100607,PA,1974-05-23,Miami,Terminated,A,5
DRV00008,Barbara,Wilson,2020-06-09,2021-01-23,DL190137896,CO,1978-12-28,Philadelphia,Terminated,A,15
DRV00009,Karen,Hernandez,2013-09-29,,DL790147183,FL,1989-02-22,Los Angeles,Active,A,13
DRV00010,Sarah,Gonzalez,2020-11-08,,DL560219456,WA,1974-05-26,Minneapolis,Active,A,23
DRV00011,Michael,Martinez,2014-06-01,,DL245706210,FL,1972-07-04,Dallas,Active,A,15
DRV00012,Robert,Moore,2013-09-12,,DL595744935,MO,1994-04-21,Nashville,Active,A,25
DRV00013,Jessica,Jones,2015-11-21,,DL295130056,WI,1969-05-27,Philadelphia,Active,A,3
DRV00014,Richard,Miller,2021-01-10,,DL153992714,FL,1969-02-02,Salt Lake City,Active,A,11
DRV00015,Susan,Wilson,2015-05-20,,DL379340713,OH,1970-05-20,Salt Lake City,Active,A,21
DRV00016,Thomas,Gonzalez,2017-04-09,,DL507059676,GA,1978-08-04,Kansas City,Active,A,11
DRV00017,William,Garcia,2021-08-24,,DL451492250,IN,1989-12-10,Atlanta,Active,A,13
DRV00018,Patricia,Martin,2021-09-01,,DL327268503,PA,1985-05-17,Chicago,Active,A,5
DRV00019,Robert,Jackson,2020-12-14,,DL588229686,TX,1994-08-15,Seattle,Active,A,20
DRV00020,Joseph,Martinez,2019-07-21,,DL450948014,TX,1965-10-02,Houston,Active,A,18
DRV00021,Patricia,Gonzalez,2019-05-25,2021-05-23,DL462388455,OK,1987-12-11,New York,Terminated,A,8
DRV00022,Charles,Moore,2016-05-03,,DL917364173,NV,1976-01-03,Memphis,Active,A,6
DRV00023,David,Smith,2015-04-03,,DL507083673,NC,1974-11-27,Philadelphia,Active,A,23
DRV00024,Barbara,Martinez,2021-09-15,,DL398775766,OH,1961-11-27,Dallas,Active,A,17
DRV00025,Jessica,Martinez,2015-09-17,,DL907464398,NE,1977-10-02,Omaha,Active,A,9
DRV00026,Charles,Miller,2019-10-10,,DL993271900,TX,1971-08-17,Columbus,Active,A,5
DRV00027,Karen,Wilson,2013-12-22,2015-03-16,DL552651788,WI,1988-05-06,Philadelphia,Terminated,A,13
DRV00028,Susan,Jackson,2014-09-19,,DL370874491,NC,1987-11-27,Memphis,Active,A,19
DRV00029,James,Martin,2014-02-20,,DL996478772,UT,1991-02-16,Philadelphia,Active,A,13
DRV00030,Jessica,Hernandez,2015-11-22,,DL187946147,WI,1982-07-11,Houston,Active,A,5
DRV00031,Charles,Anderson,2017-04-19,2019-07-18,DL604988121,NC,1980-11-04,Seattle,Terminated,A,10
DRV00032,Michael,Anderson,2019-07-14,,DL120812641,MN,1970-06-14,Omaha,Active,A,20
DRV00033,William,Anderson,2016-12-19,,DL904258674,GA,1991-05-22,New York,Active,A,9
DRV00034,Thomas,Miller,2015-05-25,,DL679196799,TX,1985-09-02,Kansas City,Active,A,15
DRV00035,Michael,Taylor,2018-11-19,,DL155926488,MI,1989-02-11,Atlanta,Active,A,19
DRV00036,Michael,Thomas,2012-12-04,,DL475767056,TX,1976-06-04,Miami,Active,A,21
DRV00037,Jessica,Garcia,2012-04-03,,DL340756713,OR,1985-09-27,New York,Active,A,21
DRV00038,William,Williams,2021-12-06,,DL798086909,WI,1960-11-28,New York,Active,A,23
DRV00039,Thomas,Martinez,2013-06-29,,DL173678414,TX,1994-08-14,Columbus,Active,A,22
DRV00040,Charles,Taylor,2012-12-19,2014-05-14,DL938842599,MI,1963-04-17,Miami,Terminated,A,19
DRV00041,Karen,Martin,2020-03-19,,DL799816232,TN,1983-10-25,Phoenix,Active,A,2
DRV00042,Richard,Hernandez,2014-03-05,2015-09-07,DL143226844,TN,1991-11-15,Los Angeles,Terminated,A,21
DRV00043,Mary,Williams,2017-04-06,,DL909851739,CO,1963-04-09,Nashville,Active,A,23
DRV00044,Richard,Davis,2018-03-10,,DL133318206,NC,1995-03-10,Atlanta,Active,A,24
DRV00045,Thomas,Martinez,2018-11-20,,DL365518424,OH,1988-12-16,New York,Active,A,10
DRV00046,Susan,Davis,2020-04-05,2022-05-05,DL314061901,IN,1967-01-21,Atlanta,Terminated,A,2
DRV00047,Elizabeth,Miller,2019-08-04,,DL121882877,CO,1975-12-06,Denver,Active,A,7
DRV00048,Thomas,Jones,2013-06-10,2015-04-18,DL767154083,NV,1979-09-01,Houston,Terminated,A,10
DRV00049,John,Smith,2018-03-25,,DL263619298,OK,1995-07-03,Memphis,Active,A,24
DRV00050,Robert,Johnson,2020-11-09,,DL356135680,OH,1974-02-15,Seattle,Active,A,11
DRV00051,Linda,Davis,2020-12-18,,DL235528741,WA,1967-11-27,Atlanta,Active,A,12
DRV00052,Thomas,Thomas,2017-09-28,2020-01-31,DL608482316,CO,1969-08-23,Phoenix,Terminated,A,13
DRV00053,John,Martin,2020-12-01,,DL818825964,WI,1978-09-23,Miami,Active,A,2
DRV00054,James,Williams,2017-12-23,,DL222824732,MN,1977-07-27,Chicago,Active,A,7
DRV00055,Mary,Anderson,2012-07-01,,DL705557720,FL,1990-08-08,New York,Active,A,6
DRV00056,William,Wilson,2018-02-23,,DL334037646,MI,1989-09-05,Oklahoma City,Active,A,20
DRV00057,Thomas,Jackson,2015-03-27,,DL599326438,FL,1984-04-20,Las Vegas,Active,A,23
DRV00058,David,Miller,2019-01-14,,DL851044796,TX,1992-12-05,Indianapolis,Active,A,14
DRV00059,Barbara,Gonzalez,2012-12-14,,DL375139575,CA,1964-05-25,Los Angeles,Active,A,4
DRV00060,Jessica,Thomas,2021-07-08,,DL923450567,OK,1986-06-26,Oklahoma City,Active,A,6
DRV00061,Linda,Gonzalez,2013-10-27,,DL496098177,PA,1992-05-27,Dallas,Active,A,25
DRV00062,Jessica,Davis,2016-11-07,,DL280162221,WA,1960-05-24,Charlotte,Active,A,22
DRV00063,James,Jones,2015-12-28,,DL750572325,CA,1979-10-19,Minneapolis,Active,A,2
DRV00064,Michael,Smith,2020-08-08,,DL752027025,OK,1991-03-15,Omaha,Active,A,4
DRV00065,Robert,Brown,2017-10-04,,DL903079055,OH,1994-08-12,Denver,Active,A,25
DRV00066,William,Wilson,2021-02-13,,DL871330207,NE,1981-09-25,Indianapolis,Active,A,18
DRV00067,Jessica,Davis,2015-10-24,2016-12-07,DL222978730,WI,1994-07-15,Memphis,Terminated,A,8
DRV00068,John,Garcia,2018-09-19,2019-04-08,DL935147672,AZ,1980-04-23,Los Angeles,Terminated,A,14
DRV00069,Patricia,Taylor,2012-09-13,,DL979717936,PA,1975-10-13,Minneapolis,Active,A,15
DRV00070,Sarah,Anderson,2014-12-15,,DL275842194,PA,1974-07-02,Indianapolis,Active,A,16
DRV00071,Jessica,Johnson,2015-01-25,,DL433975497,OK,1980-12-16,Houston,Active,A,12
DRV00072,William,Moore,2012-01-28,2014-05-03,DL216070149,NC,1984-07-22,Kansas City,Terminated,A,7
DRV00073,Linda,Davis,2012-05-04,2013-01-08,DL721358005,FL,1969-08-02,Chicago,Terminated,A,13
DRV00074,William,Brown,2017-12-12,,DL127571992,OK,1968-09-19,Oklahoma City,Active,A,11
DRV00075,John,Anderson,2015-07-13,,DL434961542,TN,1981-02-28,Nashville,Active,A,25
DRV00076,Charles,Jones,2019-11-06,2021-01-02,DL718257024,NE,1988-02-17,Indianapolis,Terminated,A,12
DRV00077,Patricia,Anderson,2014-02-07,,DL827296111,IN,1989-01-24,Detroit,Active,A,20
DRV00078,John,Taylor,2021-03-23,,DL502982778,MO,1969-07-28,Minneapolis,Active,A,21
DRV00079,Patricia,Moore,2021-06-28,,DL525904456,MI,1969-02-16,Salt Lake City,Active,A,4
DRV00080,Richard,Martin,2014-08-03,,DL867741192,CA,1976-06-20,Atlanta,Active,A,3
DRV00081,Joseph,Hernandez,2019-06-13,,DL312954978,PA,1985-11-03,Chicago,Active,A,6
DRV00082,Michael,Anderson,2013-05-02,,DL181600593,MI,1981-11-28,Charlotte,Active,A,7
DRV00083,Patricia,Martin,2018-10-04,,DL735760237,TX,1994-07-11,Portland,Active,A,21
DRV00084,Jessica,Taylor,2021-02-09,,DL841541582,CO,1991-09-02,Las Vegas,Active,A,3
DRV00085,Linda,Wilson,2012-05-30,,DL991819497,AZ,1964-04-21,Nashville,Active,A,23
DRV00086,Karen,Moore,2019-05-24,2021-09-24,DL773496394,MI,1978-04-24,Los Angeles,Terminated,A,4
DRV00087,William,Anderson,2012-04-14,,DL360757540,GA,1965-07-04,Charlotte,Active,A,10
DRV00088,Joseph,Garcia,2020-11-14,,DL209415691,WI,1966-08-06,Milwaukee,Active,A,16
DRV00089,David,Thomas,2017-09-28,,DL848605284,OH,1979-01-02,Minneapolis,Active,A,23
DRV00090,David,Anderson,2018-11-20,,DL929445037,NY,1980-01-10,Dallas,Active,A,15
DRV00091,Linda,Rodriguez,2016-12-01,,DL423821937,FL,1982-06-14,Dallas,Active,A,17
DRV00092,James,Davis,2014-11-16,,DL834717549,IL,1969-04-17,Seattle,Active,A,21
DRV00093,David,Rodriguez,2012-08-25,2014-04-09,DL744687060,IL,1986-10-22,Kansas City,Terminated,A,16
DRV00094,Mary,Taylor,2017-11-29,,DL964929067,OH,1971-03-06,New York,Active,A,15
DRV00095,Linda,Thomas,2020-03-06,,DL229981882,MI,1965-10-28,Dallas,Active,A,10
DRV00096,Joseph,Davis,2017-11-07,2018-11-18,DL954942461,WI,1984-10-22,New York,Terminated,A,8
DRV00097,Thomas,Rodriguez,2018-01-07,,DL707665448,NY,1975-08-19,Miami,Active,A,18
DRV00098,David,Anderson,2019-08-27,,DL940348305,UT,1969-04-15,Kansas City,Active,A,5
DRV00099,Michael,Williams,2014-06-27,,DL144097647,NE,1976-08-09,Salt Lake City,Active,A,13
DRV00100,Jennifer,Martinez,2019-01-04,,DL472807202,NC,1960-08-10,Memphis,Active,A,15
DRV00101,John,Davis,2014-02-18,,DL672030854,CA,1994-03-03,Columbus,Active,A,5
DRV00102,Elizabeth,Rodriguez,2014-05-04,,DL559967386,GA,1988-06-19,Milwaukee,Active,A,11
DRV00103,Joseph,Hernandez,2014-09-26,,DL810303128,TN,1979-11-14,Seattle,Active,A,23
DRV00104,Richard,Hernandez,2021-03-15,,DL497897455,MI,1976-08-28,Portland,Active,A,23
DRV00105,Barbara,Moore,2015-03-04,,DL174041730,NC,1979-04-13,Kansas City,Active,A,20
DRV00106,Patricia,Williams,2014-11-19,2016-11-21,DL643271261,NC,1990-02-08,Indianapolis,Terminated,A,17
DRV00107,Charles,Jones,2020-02-01,,DL795294275,MN,1984-10-12,Detroit,Active,A,18
DRV00108,Joseph,Jones,2016-01-06,,DL466394187,WA,1978-12-10,Minneapolis,Active,A,23
DRV00109,Joseph,Davis,2013-10-29,,DL113585139,AZ,1961-11-13,Indianapolis,Active,A,11
DRV00110,James,Gonzalez,2019-04-05,,DL551034639,IL,1977-01-19,Kansas City,Active,A,3
DRV00111,Richard,Jones,2020-03-03,,DL982971099,FL,1963-10-24,Las Vegas,Active,A,9
DRV00112,Jennifer,Miller,2016-10-26,,DL626350075,NC,1991-05-25,Los Angeles,Active,A,14
DRV00113,Mary,Williams,2017-09-30,,DL213321496,CA,1974-10-26,Milwaukee,Active,A,21
DRV00114,Thomas,Wilson,2018-12-23,,DL565492204,TX,1982-04-21,Los Angeles,Active,A,3
DRV00115,Robert,Wilson,2014-10-29,2016-05-19,DL488896443,OR,1972-10-09,Salt Lake City,Terminated,A,2
DRV00116,Thomas,Hernandez,2014-04-15,2015-11-15,DL782454310,NC,1968-11-04,Salt Lake City,Terminated,A,8
DRV00117,Patricia,Moore,2015-10-04,,DL989817696,TX,1962-05-26,Omaha,Active,A,11
DRV00118,Susan,Anderson,2019-07-17,,DL593641365,TN,1988-01-19,Columbus,Active,A,8
DRV00119,Jennifer,Wilson,2014-04-29,,DL859466878,UT,1983-12-05,Oklahoma City,Active,A,6
DRV00120,Jessica,Johnson,2018-05-14,,DL264272995,TN,1965-05-11,Philadelphia,Active,A,10
DRV00121,Mary,Miller,2012-07-20,,DL567600762,IL,1986-03-07,Las Vegas,Active,A,11
DRV00122,James,Wilson,2013-05-21,,DL289125618,NY,1968-09-12,Minneapolis,Active,A,12
DRV00123,Michael,Gonzalez,2013-04-20,,DL887906704,NY,1993-09-09,Houston,Active,A,5
DRV00124,Thomas,Jackson,2021-05-17,,DL660221300,TN,1970-05-27,Las Vegas,Active,A,2
DRV00125,David,Smith,2019-06-08,,DL798423334,MI,1990-05-24,Seattle,Active,A,17
DRV00126,Sarah,Jackson,2012-10-14,,DL389998761,TX,1981-02-15,Minneapolis,Active,A,25
DRV00127,Thomas,Gonzalez,2021-08-23,,DL761330848,TX,1964-03-25,Portland,Active,A,15
DRV00128,John,Thomas,2012-12-22,,DL967797300,CA,1974-11-24,Las Vegas,Active,A,7
DRV00129,Michael,Smith,2018-06-19,,DL677858758,OH,1985-09-12,Oklahoma City,Active,A,6
DRV00130,Karen,Lopez,2017-07-03,,DL931764920,NE,1965-07-01,Los Angeles,Active,A,14
DRV00131,Linda,Martinez,2019-01-01,2021-02-17,DL619151495,NV,1976-09-04,Seattle,Terminated,A,19
DRV00132,Patricia,Gonzalez,2021-04-05,,DL599154414,MO,1989-06-22,Las Vegas,Active,A,24
DRV00133,Mary,Wilson,2019-08-21,,DL567694547,MO,1976-10-13,Seattle,Active,A,9
DRV00134,Linda,Moore,2015-08-23,,DL986625773,MO,1983-02-22,Nashville,Active,A,18
DRV00135,Karen,Moore,2012-03-05,2014-02-03,DL884933416,TX,1974-08-01,Miami,Terminated,A,19
DRV00136,Susan,Martin,2013-12-14,2014-12-19,DL736164778,NE,1995-06-20,Denver,Terminated,A,23
DRV00137,Michael,Davis,2018-06-23,2019-02-27,DL388187517,IN,1974-11-03,New York,Terminated,A,13
DRV00138,Jennifer,Thomas,2019-08-15,,DL446071904,OR,1989-12-10,Nashville,Active,A,4
DRV00139,Sarah,Davis,2014-08-27,,DL363598427,MN,1986-02-05,Charlotte,Active,A,14
DRV00140,Richard,Rodriguez,2016-05-28,2018-06-30,DL991990632,MN,1962-01-10,Dallas,Terminated,A,25
DRV00141,Thomas,Wilson,2017-07-26,,DL193053577,MI,1991-02-04,Dallas,Active,A,3
DRV00142,John,Thomas,2012-01-31,,DL399496923,TN,1975-09-05,Dallas,Active,A,15
DRV00143,Linda,Smith,2014-10-17,,DL584044963,NV,1984-08-12,Dallas,Active,A,2
DRV00144,James,Gonzalez,2016-11-09,,DL361846370,MI,1994-07-19,Las Vegas,Active,A,16
DRV00145,Susan,Hernandez,2020-05-26,,DL905817775,TN,1969-07-21,Los Angeles,Active,A,4
DRV00146,Jessica,Gonzalez,2019-01-13,,DL598976917,MO,1966-08-20,Oklahoma City,Active,A,12
DRV00147,Richard,Garcia,2020-06-09,,DL711871397,IL,1986-05-02,Oklahoma City,Active,A,20
DRV00148,Patricia,Anderson,2019-03-28,,DL755338677,MO,1983-04-15,Denver,Active,A,15
DRV00149,Linda,Jones,2013-08-25,,DL817461907,OK,1988-04-28,New York,Active,A,20
DRV00150,Robert,Martin,2015-09-16,,DL506936666,CA,1983-02-22,Columbus,Active,A,14
